symbol,Sector,industry
PIH,Finance,Property-Casualty Insurers
TURN,Finance,Finance/Investors Services
FLWS,Consumer Services,Other Specialty Stores
FCCY,Finance,Savings Institutions
SRCE,Finance,Major Banks
VNET,Technology,"Computer Software: Programming, Data Processing"
TWOU,Technology,Computer Software: Prepackaged Software
JOBS,Technology,Diversified Commercial Services
CAFD,Public Utilities,Electric Utilities: Central
EGHT,Public Utilities,Telecommunications Equipment
AVHI,Capital Goods,Homebuilding
SHLM,Basic Industries,Major Chemicals
AAON,Capital Goods,Industrial Machinery/Components
ABAX,Capital Goods,Industrial Machinery/Components
ABEO,Health Care,Major Pharmaceuticals
ABEOW,Health Care,Major Pharmaceuticals
ABIL,Finance,Business Services
ABMD,Health Care,Medical/Dental Instruments
AXAS,Energy,Oil & Gas Production
ACIU,Health Care,Major Pharmaceuticals
ACIA,Technology,Semiconductors
ACTG,Miscellaneous,Multi-Sector Companies
ACHC,Health Care,Medical Specialities
ACAD,Health Care,Major Pharmaceuticals
ACST,Health Care,Major Pharmaceuticals
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,n/a,n/a
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Finance,Savings Institutions
ARAY,Health Care,Medical/Dental Instruments
ACRX,Health Care,Major Pharmaceuticals
ACET,Health Care,Other Pharmaceuticals
AKAO,Health Care,Major Pharmaceuticals
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,Health Care,Major Pharmaceuticals
ACIW,Technology,Computer Software: Prepackaged Software
ACRS,Health Care,Major Pharmaceuticals
ACNB,Finance,Major Banks
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ,n/a,n/a
ATVI,Technology,Computer Software: Prepackaged Software
ACTA,Technology,EDP Services
ACXM,Technology,EDP Services
ADMS,Health Care,Major Pharmaceuticals
ADMP,Health Care,Major Pharmaceuticals
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Health Care,Medical/Nursing Services
AEY,Consumer Services,Office Equipment/Supplies/Services
IOTS,Technology,Semiconductors
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Technology,Computer Software: Prepackaged Software
ADOM,Capital Goods,Auto Parts:O.E.M.
ADTN,Public Utilities,Telecommunications Equipment
ADRO,Health Care,Major Pharmaceuticals
AAAP,Health Care,Major Pharmaceuticals
ADES,Basic Industries,Major Chemicals
AEIS,Capital Goods,Industrial Machinery/Components
AMD,Technology,Semiconductors
ADXS,Health Care,Major Pharmaceuticals
ADXSW,Health Care,Major Pharmaceuticals
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AEGN,Basic Industries,Water Supply
