symbol,date,open,high,low,close,volume,adj_close
CH,2017-03-31,6.88,7.00,6.88,6.98,27600,6.98
CH,2017-03-30,6.96,7.00,6.92,6.94,21500,6.94
FAX,2017-03-31,4.97,4.99,4.96,4.99,333900,4.99
FAX,2017-03-30,4.98,4.98,4.95,4.96,370800,4.96
FCO,2017-03-31,8.50,8.50,8.40,8.40,17900,8.40
FCO,2017-03-30,8.59,8.59,8.44,8.52,40800,8.52
IAF,2017-03-31,6.07,6.10,6.05,6.06,44800,6.06
IAF,2017-03-30,6.10,6.14,6.02,6.10,40200,6.10
XXII,2017-03-31,1.25,1.28,1.15,1.18,1248400,1.18
XXII,2017-03-30,1.22,1.35,1.16,1.25,3893100,1.25
ISL,2017-03-31,17.559999,17.58,17.40,17.530001,9400,17.530001
ISL,2017-03-30,17.690001,17.690001,17.530001,17.559999,8200,17.559999
IF,2017-03-31,7.22,7.26,7.14,7.20,24700,7.20
IF,2017-03-30,7.26,7.28,7.22,7.27,9300,7.27
AIII,2017-03-31,1.13,1.20,1.13,1.16,12100,1.16
AIII,2017-03-30,1.14,1.15,1.13,1.15,4500,1.15
ATNM,2017-03-31,1.55,1.55,1.45,1.51,687700,1.51
ATNM,2017-03-30,1.49,1.54,1.46,1.52,549600,1.52
AE,2017-03-31,38.299999,38.299999,37.349998,37.349998,2000,37.349998
AE,2017-03-30,36.459999,38.23,36.459999,38.23,5200,38.23
ADK,2017-03-31,1.29,1.31,1.23,1.26,147800,1.26
ADK,2017-03-30,1.25,1.31,1.25,1.27,4500,1.27
AIRI,2017-03-31,3.66,3.66,3.32,3.65,31000,3.65
AIRI,2017-03-30,3.70,3.70,3.62,3.66,14100,3.66
ACY,2017-03-31,9.70,9.80,9.70,9.80,1900,9.80
ACY,2017-03-30,9.75,9.80,9.70,9.80,5200,9.80
AXU,2017-03-31,1.58,1.58,1.50,1.53,521700,1.53
AXU,2017-03-30,1.66,1.66,1.55,1.59,459800,1.59
AAU,2017-03-31,1.09,1.18,1.08,1.18,344100,1.18
AAU,2017-03-30,1.10,1.10,1.05,1.07,164600,1.07
APT,2017-03-31,2.65,2.75,2.60,2.75,22200,2.75
APT,2017-03-30,2.65,2.70,2.65,2.65,11600,2.65
AAMC,2017-03-31,73.010002,77.00,73.010002,75.25,13000,75.25
AAMC,2017-03-30,67.400002,75.00,67.400002,75.00,43300,75.00
AMPE,2017-03-31,0.78,0.80,0.75,0.80,424500,0.80
AMPE,2017-03-30,0.81,0.81,0.78,0.78,214000,0.78
DIT,2017-03-31,99.099998,99.099998,99.099998,99.099998,200,99.099998
DIT,2017-03-30,99.150002,99.150002,99.050003,99.050003,200,99.050003
ADGE,2017-03-31,0.30,0.32,0.30,0.31,21500,0.31
ADGE,2017-03-30,0.31,0.32,0.30,0.31,23000,0.31
ALN,2017-03-31,0.52,0.56,0.52,0.56,2300,0.56
ALN,2017-03-30,0.56,0.56,0.55,0.56,6300,0.56
AMS,2017-03-31,4.25,4.35,4.25,4.33,39300,4.33
AMS,2017-03-30,4.25,4.29,4.20,4.20,42200,4.20
USAS,2017-03-31,2.86,2.94,2.85,2.93,34400,2.93
USAS,2017-03-30,2.85,2.91,2.85,2.88,16700,2.88
AXN,2017-03-31,0.43,0.43,0.40,0.40,70200,0.40
AXN,2017-03-30,0.41,0.42,0.38,0.40,44200,0.40
AINC,2017-03-31,60.700001,61.959999,56.16,59.00,6000,59.00
AINC,2017-03-30,58.400002,60.799999,58.400002,60.700001,7400,60.700001
AWX,2017-03-31,2.31,2.38,2.31,2.38,1300,2.38
AWX,2017-03-30,2.34,2.34,2.34,2.34,5300,2.34
AST,2017-03-31,3.40,3.45,3.338,3.40,54600,3.40
AST,2017-03-30,3.50,3.50,3.35,3.45,99300,3.45
AKG,2017-03-31,2.66,2.72,2.61,2.61,669100,2.61
AKG,2017-03-30,2.59,2.67,2.57,2.66,829300,2.66
ASM,2017-03-31,1.71,1.76,1.71,1.74,171400,1.74
ASM,2017-03-30,1.73,1.74,1.71,1.71,187300,1.71
BTG,2017-03-31,2.84,2.89,2.80,2.83,3948800,2.83
BTG,2017-03-30,2.84,2.86,2.81,2.82,3521900,2.82
BKJ,2017-03-31,15.25,15.30,15.25,15.25,1900,15.25
BKJ,2017-03-30,15.14,15.30,15.14,15.30,5100,15.30
AUXO,2017-03-31,4.79,5.38,4.70,4.77,662000,4.77
AUXO,2017-03-30,4.75,4.82,4.57,4.63,57000,4.63
BTN,2017-03-31,6.26,6.60,5.95,6.00,81900,6.00
BTN,2017-03-30,6.20,6.35,6.10,6.20,76900,6.20
BAA,2017-03-31,0.13,0.13,0.13,0.13,512700,0.13
BAA,2017-03-30,0.13,0.13,0.13,0.13,405300,0.13
BCV,2017-03-31,20.98,21.049999,20.98,21.040001,7500,21.040001
BCV,2017-03-30,20.870001,21.17,20.870001,21.040001,15700,21.040001
BHB,2017-03-31,32.080002,33.41,31.41,33.080002,72300,33.080002
BHB,2017-03-30,30.870001,32.25,30.290001,32.18,46700,32.18
BRN,2017-03-31,1.95,2.07,1.92,1.92,5900,1.92
BRN,2017-03-30,1.80,2.10,1.71,1.96,19500,1.96
BPMX,2017-03-31,0.52,0.54,0.501,0.505,538100,0.505
BPMX,2017-03-30,0.53,0.531,0.50,0.51,915900,0.51
BTX,2017-03-31,3.44,3.59,3.41,3.45,769600,3.45
BTX,2017-03-30,3.35,3.35,3.26,3.31,216400,3.31
BGI,2017-03-31,1.44,1.46,1.40,1.42,11900,1.42
BGI,2017-03-30,1.49,1.49,1.40,1.44,14800,1.44
BGSF,2017-03-31,14.39,14.40,14.31,14.31,6100,14.31
BGSF,2017-03-30,14.32,14.40,14.17,14.39,11200,14.39
BZM,2017-03-31,14.19,14.19,14.19,14.19,000,14.19
BZM,2017-03-30,14.19,14.19,14.19,14.19,300,14.19
BLJ,2017-03-31,14.48,14.61,14.46,14.48,11700,14.48
BLJ,2017-03-30,14.49,14.59,14.48,14.59,5600,14.59
BFY,2017-03-31,14.67,14.67,14.65,14.65,700,14.65
BFY,2017-03-30,14.58,14.67,14.58,14.59,2000,14.59
BLE,2017-03-31,14.84,14.89,14.81,14.87,35100,14.87
