symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AE,2016-12-31,False,FY,2016,10-K,1099540000.0,6054000.0,2513000.0,0.94,0.94,0.88,246872000.0,192518000.0,86074000.0,87342000.0,151312000.0,6944000.0,-7768000.0,-3711000.0
BKJ,2016-12-31,False,FY,2016,10-K,31901000.0,,4001000.0,0.64,0.64,0.18,822440000.0,,,76976000.0,77144000.0,6386000.0,-18929000.0,15330000.0
BDR,2016-12-31,False,FY,2016,10-K,22506000.0,-671000.0,-1195000.0,-0.16,-0.16,0.0,15000000.0,8080000.0,4616000.0,468000.0,6534000.0,771000.0,-56000.0,-256000.0
LEU,2016-12-31,False,FY,2016,10-K,311300000.0,-61700000.0,-67000000.0,-7.36,-7.36,0.0,713500000.0,560600000.0,325700000.0,260700000.0,-236100000.0,37700000.0,-1200000.0,-9800000.0
CUO,2016-12-31,False,FY,2016,10-K,151592000.0,5841000.0,3686000.0,2.21,2.21,0.0,78008000.0,45883000.0,19751000.0,301000.0,52204000.0,8099000.0,-4095000.0,-4250000.0
ENSV,2016-12-31,False,FY,2016,10-K,24608453.0,-11009090.0,-8551212.0,-0.22,-0.22,0.0,42369996.0,7037068.0,4001098.0,620764.0,14415446.0,-1996828.0,-4745726.0,6558581.0
FPP,2016-12-31,False,FY,2016,10-K,2800921.0,-2215063.0,-2473147.0,-0.27,-0.27,0.0,8769947.0,1491286.0,8120594.0,880067.0,-1051116.0,-964101.0,-154254.0,531143.0
FSI,2016-12-31,False,FY,2016,10-K,16246014.0,3085314.0,1793334.0,0.16,0.16,0.0,15158487.0,9493011.0,2342405.0,2470066.0,12463993.0,1775226.0,-217695.0,-1693593.0
GLOW,2016-12-31,False,FY,2016,10-K,19218000.0,-2085000.0,-3545000.0,-0.1,-0.1,0.0,16500000.0,3753000.0,12342000.0,1140000.0,3928000.0,183000.0,-382000.0,-425000.0
HEB,2016-12-31,False,FY,2016,10-K,92000.0,-13804000.0,-7502000.0,-0.34,-0.34,0.0,18873000.0,6941000.0,2435000.0,2408000.0,15498000.0,-7380000.0,2916000.0,4757000.0
IOT,2016-12-31,False,FY,2016,10-K,,-1292000.0,2081000.0,0.5,0.5,0.0,86402000.0,,,1000.0,86379000.0,3454000.0,-3455000.0,
IDN,2016-12-31,False,FY,2016,10-K,3838963.0,-5749611.0,-5734681.0,-0.58,-0.58,0.0,14533525.0,3830318.0,1359635.0,3092172.0,12935451.0,-4240418.0,-28488.0,1407821.0
LIQT,2016-12-31,False,FY,2016,10-K,13906394.0,-13134804.0,-16418634.0,-0.45,-0.45,0.0,11412328.0,8506321.0,5008743.0,1208650.0,6269748.0,415794.0,-373740.0,-202619.0
MPO,2016-12-31,False,FY,2016,10-K,,,,,,0.0,760939000.0,123889000.0,56252000.0,76838000.0,561814000.0,23644000.0,-23346000.0,
MLSS,2016-12-31,False,FY,2016,10-K,1126484.0,-6513960.0,-5946507.0,-0.22,-0.22,0.0,13550650.0,12713812.0,5014321.0,3602229.0,8536329.0,-5398581.0,8206.0,4798220.0
NAVB,2016-12-31,False,FY,2016,10-K,21969706.0,-2223475.0,-14309031.0,-0.09,-0.09,0.0,12461676.0,10826269.0,69861788.0,1539325.0,-67666213.0,3556780.0,-39224.0,-9144491.0
